signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,30,15,0.001,>100%,距HedgeWall,near,49,0.001469667000070258,-0.0003624112428021534,4.055246710082266,0.20408163265306123,0.061224489795918366,0.001469667000070258,0.0007785025905345202,0.0025,0.002,0.0006988361904306074,0.061224489795918366,0.061224489795918366
G+做多,positive,False,15,15,0.002,70-100%,距Support,near,30,0.0016344778684442406,-0.0004036089665840054,4.0496569793229495,0.4,0.2,0.0016344778684442406,0.0010838476514898718,0.003,0.004,0.001085859993203252,0.2,0.0
G+做空,positive,True,15,30,0.002,30-50%,距HedgeWall,far,28,0.002866104998403866,-0.0007091018336862897,4.041880675310517,0.5714285714285714,0.10714285714285714,0.002866104998403866,0.0012534659273310792,0.003,0.002,0.001532143166180243,0.35714285714285715,0.0
G-做空,negative,True,15,30,0.001,50-70%,距Support,medium,19,0.002348031037942611,-0.0005819598388326306,4.03469600694885,0.5789473684210527,0.10526315789473684,0.002348031037942611,0.0008835963647272518,0.002,0.002,0.000874822322544485,0.5789473684210527,0.10526315789473684
G+做多,positive,False,30,30,0.001,70-100%,距Support,far,19,0.002413159823297685,-0.0006006424649772457,4.017631060083478,0.8421052631578947,0.0,0.002413159823297685,0.0012386924556831277,0.002,0.002,0.0017444210500035457,0.8421052631578947,0.0
G+做多,positive,False,15,15,0.001,>100%,距Support,near,57,0.001632660370825762,-0.00040865513682486617,3.9952033480138467,0.42105263157894735,0.0,0.001632660370825762,0.0006951701372848352,0.003,0.002,0.001418567661302424,0.21052631578947367,0.0
G+做多,positive,False,15,30,0.001,>100%,距HedgeWall,near,45,0.001632660370825762,-0.00040865513682486617,3.9952033480138467,0.37777777777777777,0.0,0.001632660370825762,0.000691540641198864,0.003,0.002,0.001361379638594074,0.2,0.0
G-做多,negative,False,15,30,0.002,50-70%,距HedgeWall,far,35,0.0035884010302670868,-0.0009001460270619692,3.9864654427009416,0.6285714285714286,0.37142857142857144,0.0035884010302670868,0.0029283165959662276,0.003,0.002,0.0007862992946863379,0.5142857142857142,0.37142857142857144
G-做多,negative,False,10,15,0.001,<30%,距Support,near,28,0.0016121379873111144,-0.0004063407764125827,3.9674531351345648,0.32142857142857145,0.21428571428571427,0.0016121379873111144,0.0016309196207199429,0.003,0.002,0.0005964994555751089,0.07142857142857142,0.21428571428571427
G+做空,positive,True,30,15,0.002,30-50%,距Support,medium,71,0.0011957097221313323,-0.0003053671565204136,3.9156461217249463,0.323943661971831,0.028169014084507043,0.0011957097221313323,0.0008931035826598322,0.003,0.002,0.0006876852201858847,0.08450704225352113,0.014084507042253521
G-做多,negative,False,30,15,0.002,50-70%,距Support,medium,31,0.001224322615687357,-0.0003132743704448024,3.908148036333146,0.2903225806451613,0.03225806451612903,0.001224322615687357,0.0007845680417189337,0.003,0.002,0.0007540207688115659,0.0967741935483871,0.0
G-做多,negative,False,30,15,0.001,30-50%,距HedgeWall,near,63,0.0016921395772154335,-0.00043863285224401467,3.857758415856375,0.30158730158730157,0.07936507936507936,0.0016921395772154335,0.0010554597329895964,0.003,0.002,0.0008271495894199521,0.09523809523809523,0.06349206349206349
G+做空,positive,True,15,30,0.002,50-70%,距HedgeWall,far,27,0.0027703405137616704,-0.0007247832719425369,3.822301950121873,0.6666666666666666,0.0,0.0027703405137616704,0.001045422351772816,0.003,0.002,0.0014467585237003743,0.37037037037037035,0.0
G+做多,positive,False,15,30,0.002,70-100%,距HedgeWall,near,12,0.0019101305318645332,-0.0004997496250507838,3.822175017480861,0.5,0.16666666666666666,0.0019101305318645332,0.001704476703584774,0.003,0.002,0.0008638069475833648,0.3333333333333333,0.16666666666666666
