signal,gamma,is_short,lb,hz,th,move_ratio,mr_grade,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,10,30,0.0005,30-50%,★☆☆观望,距HedgeWall,near,76,0.0008470431137454626,-0.001791867387618923,0.4727152910969791,0.13157894736842105,0.4605263157894737,0.0008470431137454626,0.003229653562180358,0.001,0.002,-0.0006576546550163882,0.32894736842105265,0.39473684210526316
G+做多,positive,False,10,30,0.0005,30-50%,★☆☆观望,距HedgeWall,medium,134,0.0010122862982738525,-0.0010116861669119473,1.0005931991377692,0.2537313432835821,0.29850746268656714,0.0010122862982738525,0.002365918096197771,0.003,0.002,4.711000681803426e-05,0.05223880597014925,0.27611940298507465
G+做多,positive,False,10,30,0.0005,30-50%,★☆☆观望,距HedgeWall,far,183,0.0006830640971000983,-0.0011575608161246427,0.5900891664482084,0.10382513661202186,0.25136612021857924,0.0006830640971000983,0.0020034024866936936,0.003,0.002,-9.028313731540162e-05,0.07650273224043716,0.22950819672131148
G+做多,positive,False,10,30,0.0005,50-70%,★★☆可选,距Support,near,218,0.0007787514175657291,-0.0010299254186548763,0.7561240876866692,0.16055045871559634,0.25688073394495414,0.0007787514175657291,0.002022674276053087,0.003,0.002,9.205891810416651e-05,0.0779816513761468,0.22935779816513763
G+做多,positive,False,10,30,0.0005,50-70%,★★☆可选,距Support,medium,111,0.001162531592125907,-0.0007962398811181827,1.4600268332369013,0.21621621621621623,0.14414414414414414,0.001162531592125907,0.0012891250387177568,0.003,0.002,0.00038224621259920233,0.02702702702702703,0.12612612612612611
G+做多,positive,False,10,30,0.0005,50-70%,★★☆可选,距Support,far,26,0.0004697041113576514,-0.0009976931092091018,0.4707901728718949,0.07692307692307693,0.0,0.0004697041113576514,0.0012759192103062274,0.003,0.002,-0.00018447624842091924,0.07692307692307693,0.0
G+做多,positive,False,10,30,0.0005,50-70%,★★☆可选,距HedgeWall,near,122,0.0006208723938678391,-0.0015012071824169687,0.4135820832326582,0.16393442622950818,0.3770491803278688,0.0006208723938678391,0.002933222054604601,0.003,0.002,-0.00012259612831175688,0.11475409836065574,0.3360655737704918
G+做多,positive,False,10,30,0.0005,50-70%,★★☆可选,距HedgeWall,medium,145,0.0009545564012931704,-0.0006088960145784706,1.5676837726618973,0.19310344827586207,0.11724137931034483,0.0009545564012931704,0.0013014511911934958,0.003,0.002,0.00042612740543704103,0.041379310344827586,0.11724137931034483
G+做多,positive,False,10,30,0.0005,50-70%,★★☆可选,距HedgeWall,far,88,0.0009809804229925854,-0.0008842331014650046,1.1094138201423234,0.14772727272727273,0.10227272727272728,0.0009809804229925854,0.0012407833324743845,0.001,0.0025,0.0001527479718196282,0.45454545454545453,0.011363636363636364
G+做多,positive,False,10,30,0.0005,70-100%,★★★推荐,距Support,near,235,0.001259008226422911,-0.0010710769015338595,1.175460160348823,0.23404255319148937,0.2936170212765957,0.001259008226422911,0.0021863560072677025,0.0025,0.003,8.243691099877538e-05,0.11063829787234042,0.11063829787234042
G+做多,positive,False,10,30,0.0005,70-100%,★★★推荐,距Support,medium,29,0.0009782524664451728,-0.0002958571084501818,3.3065031682681267,0.3103448275862069,0.1724137931034483,0.0009782524664451728,0.0006369871251390107,0.003,0.002,0.0009164442611386085,0.3103448275862069,0.1724137931034483
G+做多,positive,False,10,30,0.0005,70-100%,★★★推荐,距Support,far,68,0.0009616423055461806,-0.0006185963565136989,1.554555398557193,0.2647058823529412,0.058823529411764705,0.0009616423055461806,0.0012136606091020538,0.002,0.0025,0.0005848754604332556,0.2647058823529412,0.0
