signal,gamma,is_short,lb,hz,th,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G-做多,negative,False,10,15,0.002,距Support,far,126,0.0014415156233586655,-0.0010309440553336597,1.398248155077752,0.3492063492063492,0.1349206349206349
G-做多,negative,False,10,30,0.0005,距Support,near,409,0.0016193621226658966,-0.0012724289450434083,1.2726542640938217,0.4034229828850856,0.34963325183374083
G-做多,negative,False,10,30,0.0005,距Support,medium,653,0.0015007352696944478,-0.0013181477080386585,1.1385182863364158,0.3552833078101072,0.36447166921898927
G-做多,negative,False,10,30,0.0005,距Support,far,541,0.0012470347199135896,-0.0014528522377082616,0.85833554682799,0.2680221811460259,0.3345656192236599
G-做多,negative,False,10,30,0.001,距Support,near,248,0.0016370651864987228,-0.0013505357358710877,1.212159843695528,0.3911290322580645,0.3629032258064516
G-做多,negative,False,10,30,0.001,距Support,medium,444,0.0015213154401786783,-0.0012588811133368732,1.2084663309835346,0.38288288288288286,0.36936936936936937
G-做多,negative,False,10,30,0.001,距Support,far,342,0.0013601419146228324,-0.0014346445286716083,0.9480689379425852,0.32748538011695905,0.30701754385964913
G-做多,negative,False,10,30,0.0015,距Support,near,145,0.001790801912990788,-0.001375925987593983,1.3015248851591785,0.43448275862068964,0.4
G-做多,negative,False,10,30,0.0015,距Support,medium,277,0.0016294139390327894,-0.0012615888836510188,1.2915569882934372,0.4296028880866426,0.3971119133574007
G-做多,negative,False,10,30,0.0015,距Support,far,208,0.0015851359802706994,-0.0012151753274479067,1.3044504315272585,0.38461538461538464,0.2644230769230769
G-做多,negative,False,10,30,0.002,距Support,near,81,0.002118119302206624,-0.001375925987593983,1.5394136903471674,0.5308641975308642,0.4074074074074074
