signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G+做多,positive,False,30,30,0.002,<30%,距HedgeWall,near,86,0.0020666029999878983,-0.0007120793246472209,2.9022089652887155,0.5232558139534884,0.09302325581395349
G+做多,positive,False,10,30,0.002,70-100%,距Support,near,19,0.0025033504807719965,-0.0008751518344529529,2.860475613739428,0.631578947368421,0.21052631578947367
G+做空,positive,True,10,15,0.002,50-70%,距Support,near,19,0.0018022660824063826,-0.0006318162240201275,2.8525163075726407,0.3157894736842105,0.05263157894736842
G+做空,positive,True,10,30,0.002,50-70%,距Support,near,19,0.0022048392268130116,-0.0007786272627039839,2.8317005227329686,0.7368421052631579,0.05263157894736842
G-做空,negative,True,10,15,0.001,30-50%,距HedgeWall,medium,44,0.0015790457281479034,-0.0005581493330950454,2.829073931508242,0.4090909090909091,0.0
G-做多,negative,False,15,15,0.002,<30%,距Support,medium,94,0.0016827585649696669,-0.0006009998107853679,2.7999319380328758,0.425531914893617,0.20212765957446807
G+做多,positive,False,30,15,0.002,30-50%,距HedgeWall,medium,22,0.0013881063105310896,-0.0004969406120985503,2.7933042233541756,0.045454545454545456,0.0
G-做空,negative,True,15,15,0.002,50-70%,距Support,near,25,0.0016471270729678934,-0.0005957576100587714,2.7647604414241633,0.32,0.24
G-做多,negative,False,30,15,0.002,50-70%,距HedgeWall,far,57,0.0019592792480668383,-0.0007089132616661592,2.7637785241341706,0.47368421052631576,0.12280701754385964
G+做多,positive,False,30,30,0.002,<30%,距Support,near,105,0.0020032260130440275,-0.000725911825910186,2.7595996394359306,0.5047619047619047,0.09523809523809523
G-做空,negative,True,10,30,0.001,70-100%,距HedgeWall,medium,42,0.001602041761935943,-0.0005831798426756473,2.7470801366962982,0.40476190476190477,0.3333333333333333
G+做空,positive,True,30,15,0.002,50-70%,距Support,near,80,0.0014133910387161101,-0.0005175368916749068,2.730995725042802,0.2125,0.05
G+做空,positive,True,30,30,0.002,30-50%,距Support,medium,71,0.0015991494569463428,-0.0005859247524283582,2.729274450889277,0.4084507042253521,0.04225352112676056
G-做多,negative,False,15,15,0.002,<30%,距HedgeWall,far,165,0.0016951689951927422,-0.0006228612708481483,2.721583560468346,0.4,0.18181818181818182
G-做多,negative,False,15,30,0.002,30-50%,距Support,near,33,0.0018920992073638346,-0.0006958734851340969,2.7190275930677563,0.48484848484848486,0.030303030303030304
G-做多,negative,False,30,15,0.001,<30%,距Support,far,22,0.0017335493960195089,-0.0006389289161019577,2.7132116771232124,0.45454545454545453,0.045454545454545456
G+做空,positive,True,30,15,0.002,<30%,距HedgeWall,medium,93,0.0010807410455014339,-0.000404589618055853,2.6712031087071524,0.12903225806451613,0.08602150537634409
G+做空,positive,True,30,30,0.002,50-70%,距Support,near,80,0.001823996565572721,-0.0006829930820232203,2.6705930317325075,0.4375,0.0875
G+做空,positive,True,30,15,0.002,<30%,距Support,medium,137,0.000971928846460649,-0.000366744963805696,2.6501491291795447,0.08759124087591241,0.08029197080291971
G-做多,negative,False,30,30,0.002,<30%,距HedgeWall,far,216,0.0023403347559873408,-0.000899725728672823,2.6011646454076027,0.5509259259259259,0.24074074074074073
G-做空,negative,True,10,15,0.001,50-70%,距Support,medium,11,0.0016432246327197433,-0.0006337107399872125,2.5930200153352327,0.45454545454545453,0.18181818181818182
G-做多,negative,False,10,30,0.002,<30%,距Support,medium,65,0.0028382185322872373,-0.0011010354868721476,2.577772075585073,0.5692307692307692,0.3230769230769231
G+做空,positive,True,30,30,0.002,30-50%,距HedgeWall,far,41,0.001632568802671492,-0.000637057002624723,2.5626730354508074,0.4146341463414634,0.0975609756097561
G+做空,positive,True,30,30,0.002,<30%,距Support,medium,137,0.0013872359471961949,-0.000545253099218616,2.5442055243412582,0.29927007299270075,0.291970802919708
G-做多,negative,False,30,15,0.002,30-50%,距Support,medium,55,0.001519834825498166,-0.0005999822115826059,2.5331331432130537,0.38181818181818183,0.16363636363636364
G-做多,negative,False,15,30,0.002,30-50%,距Support,medium,49,0.0018157564296748803,-0.0007239493443575643,2.5081263541804715,0.4489795918367347,0.3673469387755102
G-做空,negative,True,30,30,0.002,30-50%,距HedgeWall,near,27,0.002266632709622344,-0.0009085089509119557,2.4948930963719316,0.5555555555555556,0.25925925925925924
G-做多,negative,False,10,30,0.002,<30%,距HedgeWall,far,106,0.002299679969303271,-0.000927860388726021,2.478476285059219,0.5943396226415094,0.33962264150943394
G+做多,positive,False,30,30,0.001,<30%,距Support,near,276,0.0016791653599865374,-0.0006786041755379807,2.474440064644955,0.36594202898550726,0.09057971014492754
